bias,pred_rg_lattice,pred_rg_observed,mean_contacts,cov_contact_rg,corr_contact_rg,d_rg_db,rg_scale_used,scale_label,rg_summary
-7.65,1.6215883,0.65667924,25.99857,-7.7379724e-05,-0.81562357,7.9350936e-05,0.4049605139,fitted scale,rms
-7.6,1.6215924,0.65668089,25.998496,-8.1349025e-05,-0.81557889,8.3421345e-05,0.4049605139,fitted scale,rms
-7.55,1.6215967,0.65668262,25.998419,-8.5522042e-05,-0.81553193,8.7700658e-05,0.4049605139,fitted scale,rms
-7.5,1.6216012,0.65668444,25.998338,-8.990924e-05,-0.81548257,9.2199606e-05,0.4049605139,fitted scale,rms
-7.45,1.6216059,0.65668635,25.998253,-9.4521624e-05,-0.8154307,9.6929475e-05,0.4049605139,fitted scale,rms
-7.4,1.6216108,0.65668836,25.998163,-9.9370764e-05,-0.81537617,0.00010190213,0.4049605139,fitted scale,rms
-7.35,1.6216161,0.65669048,25.998069,-0.00010446883,-0.81531886,0.00010713005,0.4049605139,fitted scale,rms
-7.3,1.6216216,0.6566927,25.997969,-0.00010982861,-0.81525863,0.00011262635,0.4049605139,fitted scale,rms
-7.25,1.6216273,0.65669504,25.997865,-0.00011546357,-0.81519532,0.00011840483,0.4049605139,fitted scale,rms
-7.2,1.6216334,0.6566975,25.997755,-0.00012138784,-0.81512879,0.00012448,0.4049605139,fitted scale,rms
-7.15,1.6216398,0.65670008,25.99764,-0.00012761631,-0.81505886,0.00013086711,0.4049605139,fitted scale,rms
-7.1,1.6216465,0.6567028,25.997519,-0.00013416462,-0.81498537,0.0001375822,0.4049605139,fitted scale,rms
-7.05,1.6216535,0.65670565,25.997391,-0.00014104921,-0.81490814,0.00014464214,0.4049605139,fitted scale,rms
-7,1.621661,0.65670865,25.997257,-0.0001482874,-0.81482697,0.00015206466,0.4049605139,fitted scale,rms
-6.95,1.6216687,0.65671181,25.997116,-0.00015589735,-0.81474167,0.00015986843,0.4049605139,fitted scale,rms
-6.9,1.6216769,0.65671513,25.996968,-0.00016389822,-0.81465202,0.00016807306,0.4049605139,fitted scale,rms
-6.85,1.6216856,0.65671862,25.996812,-0.00017231011,-0.81455782,0.00017669918,0.4049605139,fitted scale,rms
-6.8,1.6216946,0.65672228,25.996648,-0.00018115418,-0.81445882,0.00018576849,0.4049605139,fitted scale,rms
-6.75,1.6217041,0.65672614,25.996475,-0.00019045269,-0.81435479,0.00019530379,0.4049605139,fitted scale,rms
-6.7,1.6217141,0.65673019,25.996294,-0.00020022904,-0.81424547,0.00020532909,0.4049605139,fitted scale,rms
-6.65,1.6217247,0.65673445,25.996103,-0.00021050782,-0.8141306,0.00021586963,0.4049605139,fitted scale,rms
