bias,pred_rg_lattice,pred_rg_observed,mean_contacts,cov_contact_rg,corr_contact_rg,d_rg_db,rg_scale_used,scale_label,rg_summary
6.65,3.7347795,1.2884989,0.004124188,-0.00060414783,-0.015889981,0.0006050975,0.345,nominal scale,rms
6.7,3.734809,1.2885091,0.0039229616,-0.00057466482,-0.015497439,0.00057556883,0.345,nominal scale,rms
6.75,3.734837,1.2885188,0.0037315575,-0.00054662146,-0.015114604,0.00054748198,0.345,nominal scale,rms
6.8,3.7348637,1.288528,0.0035494957,-0.00051994737,-0.014741236,0.00052076647,0.345,nominal scale,rms
6.85,3.7348891,1.2885367,0.0033763201,-0.00049457563,-0.0143771,0.00049535527,0.345,nominal scale,rms
6.9,3.7349132,1.2885451,0.0032115965,-0.00047044258,-0.014021967,0.00047118463,0.345,nominal scale,rms
6.95,3.7349362,1.288553,0.0030549121,-0.00044748768,-0.013675614,0.00044819395,0.345,nominal scale,rms
7,3.7349581,1.2885605,0.0029058743,-0.00042565337,-0.013337823,0.00042632555,0.345,nominal scale,rms
7.05,3.7349788,1.2885677,0.0027641098,-0.00040488489,-0.013008382,0.00040552462,0.345,nominal scale,rms
7.1,3.7349986,1.2885745,0.0026292633,-0.00038513016,-0.012687085,0.00038573899,0.345,nominal scale,rms
7.15,3.7350174,1.288581,0.0025009972,-0.00036633968,-0.012373729,0.00036691908,0.345,nominal scale,rms
7.2,3.7350353,1.2885872,0.00237899,-0.00034846632,-0.012068117,0.00034901771,0.345,nominal scale,rms
7.25,3.7350523,1.2885931,0.0022629362,-0.00033146531,-0.011770059,0.00033199003,0.345,nominal scale,rms
7.3,3.7350685,1.2885986,0.0021525452,-0.00031529402,-0.011479367,0.00031579335,0.345,nominal scale,rms
7.35,3.7350839,1.2886039,0.0020475405,-0.00029991195,-0.011195858,0.0003003871,0.345,nominal scale,rms
7.4,3.7350985,1.288609,0.0019476593,-0.00028528054,-0.010919356,0.00028573268,0.345,nominal scale,rms
7.45,3.7351125,1.2886138,0.0018526513,-0.00027136315,-0.010649685,0.00027179339,0.345,nominal scale,rms
7.5,3.7351257,1.2886184,0.0017622788,-0.0002581249,-0.010386678,0.00025853429,0.345,nominal scale,rms
7.55,3.7351383,1.2886227,0.0016763155,-0.00024553265,-0.010130169,0.00024592219,0.345,nominal scale,rms
7.6,3.7351503,1.2886269,0.0015945462,-0.00023355485,-0.0098799981,0.0002339255,0.345,nominal scale,rms
7.65,3.7351617,1.2886308,0.0015167662,-0.0002221615,-0.0096360078,0.00022251417,0.345,nominal scale,rms
7.7,3.7351726,1.2886345,0.0014427808,-0.00021132407,-0.0093980453,0.00021165963,0.345,nominal scale,rms
7.75,3.7351829,1.2886381,0.0013724049,-0.00020101542,-0.0091659618,0.0002013347,0.345,nominal scale,rms
7.8,3.7351927,1.2886415,0.0013054623,-0.00019120975,-0.0089396116,0.00019151353,0.345,nominal scale,rms
7.85,3.735202,1.2886447,0.0012417854,-0.0001818825,-0.0087188531,0.00018217154,0.345,nominal scale,rms
7.9,3.7352109,1.2886478,0.0011812149,-0.00017301032,-0.0085035479,0.00017328532,0.345,nominal scale,rms
7.95,3.7352194,1.2886507,0.0011235992,-0.000164571,-0.0082935612,0.00016483264,0.345,nominal scale,rms
8,3.7352274,1.2886535,0.0010687941,-0.00015654342,-0.0080887615,0.00015679234,0.345,nominal scale,rms
8.05,3.735235,1.2886561,0.0010166625,-0.00014890747,-0.0078890205,0.0001491443,0.345,nominal scale,rms
8.1,3.7352423,1.2886586,0.00096707401,-0.00014164405,-0.0076942133,0.00014186937,0.345,nominal scale,rms
8.15,3.7352492,1.288661,0.00091990445,-0.00013473498,-0.0075042178,0.00013494935,0.345,nominal scale,rms
8.2,3.7352558,1.2886633,0.00087503583,-0.00012816296,-0.0073189151,0.00012836691,0.345,nominal scale,rms
8.25,3.7352621,1.2886654,0.0008323559,-0.00012191155,-0.0071381892,0.00012210559,0.345,nominal scale,rms
8.3,3.735268,1.2886675,0.00079175787,-0.00011596511,-0.0069619269,0.0001161497,0.345,nominal scale,rms
8.35,3.7352737,1.2886694,0.00075314016,-0.00011030875,-0.006790018,0.00011048436,0.345,nominal scale,rms
8.4,3.7352791,1.2886713,0.00071640617,-0.00010492831,-0.0066223549,0.00010509539,0.345,nominal scale,rms
8.45,3.7352842,1.288673,0.00068146399,-9.9810345e-05,-0.0064588326,9.9969291e-05,0.345,nominal scale,rms
8.5,3.7352891,1.2886747,0.00064822622,-9.4942036e-05,-0.0062993489,9.5093247e-05,0.345,nominal scale,rms
8.55,3.7352937,1.2886763,0.00061660969,-9.0311204e-05,-0.0061438038,9.0455058e-05,0.345,nominal scale,rms
