baseline,model,temperature_index,temperature,n_seeds,ess_contacts_min,ess_contacts_median,ess_contacts_total,tau_contacts_max,ess_rg_min,ess_rg_median,tau_rg_max,drift_contacts_max,seed_mean_contacts_std,seed_mean_rg_std,rhat_contacts,rhat_rg
final_joint_baseline_44mer,poly3,47,337.741,10,839.3708590854706,1423.8511818843517,13540.948121253043,1.7870527476189872,1209.0600246710926,1424.2045055761025,1.2406331938797277,0.12919341077574625,0.13155743992644414,0.0073679829198653735,1.0002152938817628,1.0000728866452102
final_joint_baseline_44mer,poly3,48,339.091,10,1240.3461169816978,1423.9435452869361,14021.233668754066,1.2093398604335968,1218.8537614365764,1471.2718492952267,1.2306644549646846,0.10481232258565186,0.23553635246673352,0.010032905688547354,1.000749055225182,1.0003827670011638
final_joint_baseline_44mer,poly3,49,340.446,10,1167.9467414761596,1432.6705621258725,14107.052484738602,1.284305137153909,1106.9643308130235,1360.430785701396,1.355057212094907,0.09589725711389774,0.10320398355791403,0.008110699366533936,0.9997181395560163,1.0001162707032736
final_joint_baseline_44mer,poly3,50,341.807,10,1251.744120955827,1382.113504717518,13782.960672107525,1.1983279768508965,1148.8230294588193,1465.263491492084,1.305684131964704,0.10023639634378594,0.1411901790730027,0.009958548732827859,1.0000062560117748,1.0001423974978065
final_joint_baseline_44mer,poly3,51,343.173,10,749.7259996098525,1445.9148738179579,13760.573309280988,2.000730934742266,1270.9116568102165,1448.5166111063554,1.180255127854251,0.134436944164501,0.15291399180221812,0.008554173013975394,1.0003652760525126,1.0005242466103705
final_joint_baseline_44mer,poly3,52,344.545,10,1200.8311100468532,1454.660354454542,14216.400614159358,1.2491348595569565,1231.8597218249147,1432.9180337796233,1.2176711141897343,0.12356076132471429,0.1871645859189773,0.009113752671349326,1.0002743310823243,1.0001176576183792
final_joint_baseline_44mer,poly3,53,345.922,10,1309.7437273728815,1412.6714212961147,14091.366656200486,1.1452622132489534,1244.8265073723755,1452.922558499421,1.2049871938911823,0.08454907904014772,0.16078376092683527,0.008411622102883314,0.9999927932509174,1.0000743707727429
final_joint_baseline_44mer,poly3,54,347.305,10,884.2822231937176,1483.8399501004078,13889.556540760452,1.6962910263903366,1307.4284585125238,1411.8280013517747,1.147290308875919,0.07818920306847339,0.07551411935672853,0.00770819379992224,0.9996906360034058,0.9999406183093081
final_joint_baseline_44mer,poly3,55,348.693,10,1313.7752365585316,1429.3659385355313,14378.083359355955,1.141747810629533,1345.255547893149,1492.1049908229788,1.1150297817758132,0.075568850467275,0.10320699804007703,0.005944072592687001,0.9997581882600861,0.9997709333239968
final_joint_baseline_44mer,poly3,56,350.086,10,1326.024260333462,1413.5825736229021,14021.319651457365,1.1312010231417542,1177.899441835333,1367.8527159324622,1.273453358346778,0.1409199840296408,0.15804072611548933,0.007614103165863468,1.0001770578755935,1.0000412376620313
final_joint_baseline_44mer,poly3,57,351.486,10,1204.3711507376054,1375.850403588377,13819.777796435956,1.2454632436864164,1126.6175283385996,1416.1613668130335,1.3314190151222127,0.08406342337650297,0.12873096838842746,0.006636827786896877,0.9998937181977741,0.9999897567860934
