baseline,model,seed,temperature_index,temperature,split,target_vs_fit_contact_js,target_vs_remd_contact_js,fit_vs_remd_contact_js,target_vs_fit_rg_js,target_vs_remd_rg_js,fit_vs_remd_rg_js,target_mean_contacts,fit_mean_contacts,remd_mean_contacts,target_mean_rg,fit_mean_rg,remd_mean_rg
final_joint_baseline_44mer,hs,1,26,310.6,train,0.0729221360903951,0.07557602882694786,0.004434963772220251,0.015118025943089624,0.02174182896892703,0.009315621403716955,12.760165616821862,12.182458782102579,12.393333333333334,1.6043305868470101,1.5862390955268681,1.5730449381477898
final_joint_baseline_44mer,hs,1,27,311.842,train,0.07384418481695626,0.07486344293659644,0.003379334993552765,0.015210069605861468,0.02108139554761727,0.009215598287947668,12.944969113261518,12.31434525943373,12.362666666666668,1.5958195529076442,1.5807840413758611,1.5783311626281327
final_joint_baseline_44mer,hs,1,28,313.088,train,0.07830816633322578,0.08449526475103383,0.0041794986573104745,0.0161781270462694,0.02600714162710739,0.007655723158348343,13.29451341975534,12.447546264439897,12.372666666666667,1.5835136685075968,1.5752970056364135,1.5844567028381888
final_joint_baseline_44mer,hs,1,29,314.34,train,0.0748210521074752,0.08727570784536179,0.003579557640139899,0.013811245360998549,0.020042709443322457,0.006892927873655267,13.48962745724545,12.582274785593542,12.568666666666667,1.5730841481092992,1.5697698287582917,1.5648464777020963
final_joint_baseline_44mer,hs,1,30,315.596,train,0.0763428456716969,0.0825345252573845,0.004508272479938121,0.014174972231271505,0.022720236200391937,0.010368819987815608,13.672765276002677,12.718313266095484,12.744,1.567634268012788,1.5642120478280603,1.5734486654812652
final_joint_baseline_44mer,hs,1,31,316.858,train,0.07623675974331373,0.08564812484815001,0.005554085743332746,0.013826496189374262,0.019259335681782574,0.005943194271418742,13.829060921429004,12.85587436046102,12.528,1.5631233357800103,1.5586155844302638,1.5621480487291073
final_joint_baseline_44mer,hs,1,32,318.124,train,0.07700933778740632,0.08604267396889462,0.005839362477177033,0.013622634006697096,0.022180094711742007,0.0076083312702393425,14.070463605380073,12.99473439821008,12.922,1.558760215078798,1.552990143393708,1.558467261844412
final_joint_baseline_44mer,hs,1,33,319.396,train,0.0808522922712542,0.07857881474514028,0.005143681152980818,0.013636736808536314,0.02139298112322642,0.008028394903274207,14.099472795325909,13.135105264216147,13.28,1.560315682543106,1.5473277414809836,1.537454902066263
final_joint_baseline_44mer,hs,1,34,320.672,train,0.082620691001806,0.08764706274058426,0.0067692860828921925,0.013478125930216103,0.013988262938824119,0.00730017168833845,14.246917031830076,13.276756890549201,13.471333333333334,1.5576941339806614,1.541638253421362,1.5399479057748078
final_joint_baseline_44mer,hs,1,35,321.954,train,0.07970746554178146,0.0891703094123473,0.004727876956842514,0.01219686564404606,0.017676299604760227,0.009072814698881541,14.381535283914552,13.419899943592664,13.348666666666666,1.553315696022292,1.5359138049226373,1.5386091157571835
final_joint_baseline_44mer,hs,1,36,323.241,train,0.08185448035703152,0.08667767276590074,0.002895937269361615,0.012195598508039068,0.020794872016824492,0.008118580289312297,14.587121903718579,13.56441030064655,13.588666666666668,1.545519977992165,1.5301599677584123,1.5282671196897064
final_joint_baseline_44mer,hs,1,37,324.533,train,0.07728269404777996,0.08578457656698707,0.00583142867963176,0.011409525747417812,0.01872671241075039,0.009011541978835302,14.566468109062138,13.710272373091641,13.487333333333336,1.5455605687236313,1.5243779320387172,1.530790927432828
final_joint_baseline_44mer,hs,1,38,325.83,train,0.0802407393025583,0.0879957071632686,0.0037612647279304107,0.01159922170365758,0.017899688584948163,0.008953528652738987,14.80466496257075,13.857468342889375,13.822000000000001,1.5404790686617498,1.5185689626921635,1.5276685651676292
final_joint_baseline_44mer,hs,1,39,327.132,train,0.0818790215728969,0.09209641697909066,0.004788667537563866,0.013299043986567767,0.02068468130139615,0.008744724664570155,14.926329042663259,14.005978089096505,14.086666666666666,1.543821294173438,1.5127344003549819,1.5054833691718217
final_joint_baseline_44mer,hs,1,40,328.44,train,0.07709520355297342,0.07802709726673965,0.0031426438107592302,0.012617635563719629,0.020985510472929635,0.009572783629507139,15.05278513176313,14.155894002619446,14.123333333333335,1.540026443712756,1.5068711791093836,1.5133584259270065
final_joint_baseline_44mer,hs,1,41,329.753,train,0.08131350443486074,0.0809633791752771,0.00790028330502418,0.014134863872608362,0.020378320394412508,0.0058764921006972705,15.265959923315682,14.307077309679187,14.576,1.5372187904758519,1.5009852762325244,1.4971532837317183
final_joint_baseline_44mer,hs,1,42,331.071,train,0.07605886203681694,0.08442372875086163,0.005053769786792622,0.015382872118196897,0.02354428257200077,0.010406202484253748,15.465113961414396,14.459500522572089,14.356000000000002,1.5314127841504375,1.4950782656825312,1.5102518067981678
final_joint_baseline_44mer,hs,1,43,332.394,train,0.08063525451302148,0.09404716875690455,0.005144425956850244,0.015510256860542157,0.020221606551607686,0.009330701269702622,15.650857373257864,14.613133614030982,14.443333333333333,1.5244549200868058,1.489151797965392,1.4948863369903633
