replicate,h1,s1,h2,s2,train_objective,validation_objective,all_objective,train_rmse,validation_rmse,all_rmse,T_bias_zero,T_rg_max_slope,collapse_detected
65,1340.4269332907443,-1.1395998275949615,-935.6813538982784,10.0,0.05918237147290418,0.059470934074431846,0.05929335708887636,0.24327427211463235,0.24386663173634857,0.24350227327250223,,342.96,True
66,369.94868732371447,-2.923713205241359,-176.30206725721476,10.0,0.006197649224908302,0.005419763991237216,0.005898462596573269,0.07872514988812852,0.07361904638907799,0.07680144918276782,,310.44,True
67,441.446892773231,-2.8844221033946993,-280.6052632595911,10.0,0.014468620819273664,0.010654516539968654,0.013001657634925584,0.12028558026327871,0.10322071759084343,0.11402481148822648,,324.72,True
68,338.94907542190975,-3.183450816129329,-285.6351837528375,10.0,0.006413873219127252,0.004032274267672485,0.0054978736224138795,0.0800866606815845,0.06350019108374781,0.07414764745029932,,312.36,True
69,1842.2042838195362,5.059423678684816,717.6950660311169,4.312455276322308,0.029552371378161933,0.029542752266531313,0.02954867171984247,0.17190803174419145,0.17188005197384398,0.17189727083302536,,336.48,True
70,750.0641904302856,-1.4445759993614817,-0.03094775204380239,10.0,0.01465379862757633,0.01847558458185951,0.01612371630230063,0.1210528753379131,0.1359249225928031,0.12697919633664653,,309.96,True
71,1188.26505911269,-1.1547841303184123,-802.2816628273202,10.0,0.015554300806683626,0.020103919805021252,0.017304154267582715,0.12471688260489687,0.1417882922001011,0.13154525558750765,,310.08,True
72,93.60885794114083,-3.144284633797142,302.73162350489594,10.0,0.006435583186116768,0.004318825086357583,0.00562144545544016,0.0802220866477354,0.06571776842192363,0.07497629929144382,,309.72,True
73,106.2756599851719,-3.033018881721101,352.7836002761622,10.0,0.006184682399885704,0.0047673993883620884,0.005639573549299698,0.07864275173139419,0.069046356807308,0.07509709414684232,,310.08,True
74,390.4970676808561,-3.044916760090768,-303.7447425631414,10.0,0.005960528472556022,0.0045222218921952256,0.0054073336339557155,0.0772044588903777,0.06724746755228204,0.0735345744120119,,313.56,True
75,152.2330647952443,-2.967203331913645,294.2984987669264,10.0,0.006221789836283632,0.005165757111366914,0.005815623403623358,0.07887832298092824,0.07187320162179305,0.07626023474671027,,310.44,True
76,375.0524533799132,-3.027544150380257,-310.52547246183735,9.826246611836494,0.0059868613338694854,0.004195670446822919,0.005297941761928498,0.07737481071944206,0.06477399514328971,0.07278696148300531,,312.96,True
77,156.41433708511826,-2.993535115355084,278.126338004612,10.0,0.007069239927503933,0.005499061292488454,0.006465325067882595,0.08407877215744729,0.07415565583614277,0.0804072451205897,,316.44,True
78,104.6037272070997,-3.14036745587116,283.3583207610352,10.0,0.006276323545738451,0.004189696147923232,0.005473774546578752,0.07922325129492257,0.06472786222271854,0.07398496162450009,,311.64,True
79,1379.7429876705287,4.160962092083689,-2000.0,-4.674732472675117,0.011324448742002313,0.007115656460387561,0.009705682479842796,0.10641639320143449,0.08435435057178474,0.09851742221476766,331.59229936161074,308.88,True
80,337.8174944779818,-3.038778514013142,-185.93471206718434,10.0,0.006041457887018991,0.004656285878063345,0.005508699422036051,0.07772681575247369,0.06823698321338176,0.07422061318822454,,309.36,True
81,92.6417488955807,-3.1740693728322644,288.3065687635003,10.0,0.006585680393164977,0.004198413814343284,0.005667500939772018,0.08115220510352739,0.06479516814040445,0.07528280640207309,,312.36,True
82,1134.4491414441925,-2.2326954699799,-2000.0,8.186495097232193,0.005992676837514652,0.004723437352633605,0.005504507804868096,0.0774123816809343,0.06872726789734629,0.07419237026047959,,314.03999999999996,True
83,440.9581882478728,-2.8395594772861004,-280.66914006414623,10.0,0.006667208033947267,0.006222991711725747,0.006496355602323605,0.08165297320947515,0.07888594115383138,0.08059997271912445,,310.2,True
84,72.31555987764722,-3.2366133180975076,288.01801781269364,10.0,0.007267731138111107,0.004374143090109502,0.006154812658110489,0.0852509890740929,0.06613730482949469,0.07845261409354368,,310.44,True
85,102.22537142000253,-3.0557962380742936,363.39472720397583,10.0,0.008751591688774932,0.0062340075595605175,0.007783290100615543,0.09354994221684443,0.07895573164476735,0.08822295676645361,,319.32,True
86,1127.7795435452647,-0.5917975080187378,-2000.0,4.342812941310917,0.006528474560456538,0.004854497921350507,0.005884637391569602,0.08079897623396312,0.06967422709546556,0.07671139023358657,,315.6,True
87,156.45069937273917,-2.968040513727853,283.9897052655419,10.0,0.006213253227773557,0.005155551078740275,0.005806444708914602,0.07882419189419931,0.07180216625381351,0.07620003089838351,,310.44,True
88,153.82189181025504,-2.987636296470672,286.2302978945465,10.0,0.006668558844491902,0.00528817207224855,0.006137640855167537,0.08166124444613798,0.07271981897838133,0.07834309704860752,,315.36,True
89,765.9836933363873,-3.070258864823698,-1192.161814159036,10.0,0.005672779384869663,0.004222027700809036,0.0051147979679232675,0.07531785568422446,0.06497713213746076,0.07151781573792133,,311.15999999999997,True
90,1340.413267825685,-0.7107346104264793,-935.6789515236393,10.0,0.03564063880066317,0.023023100196662098,0.030787739337585832,0.18878728453119709,0.15173364886096327,0.17546435346698153,,296.4,True
91,110.96693922267839,-3.030092033729975,345.3821690072747,10.0,0.006090241385947969,0.004712320005040872,0.005560271624060623,0.07803999862857487,0.06864634007025336,0.07456722888816925,,310.8,True
92,922.4486258312231,-3.0909514931355875,-1565.6428339002819,10.0,0.005744611462846947,0.004134788975405805,0.005125448967677276,0.07579321515047997,0.06430232480560719,0.07159224097398598,,312.36,True
93,463.58497102798805,-2.769509526128133,-280.5606887314818,10.0,0.006954416471881809,0.006884165754587479,0.006927396965230144,0.08339314403403801,0.08297087292892295,0.08323098560770588,,311.15999999999997,True
94,857.9343327123362,-2.983141507421839,-1380.5914771198857,9.873764032091538,0.005664306665365567,0.004409892343051128,0.0051818396183215525,0.07526158824636621,0.06640702028438807,0.0719849957860772,,311.52,True
95,1139.3647638401733,-2.993024003019503,-2000.0,10.0,0.00578318410656024,0.00477067634021398,0.0053937580425809095,0.07604724917155281,0.06907008281603534,0.0734422088623491,,310.56,True
96,750.07040713006,-1.4981321580646152,-0.021907955867358567,10.0,0.015579650494019735,0.018045617073861646,0.016528099178574316,0.12481847016375315,0.13433397587305174,0.12856165516426085,,316.92,True
97,1125.4557531491578,-3.0411895691943727,-2000.0,10.0,0.005649721913859128,0.004385219059982309,0.005163374662368044,0.07516463206760962,0.06622098655246922,0.07185662573742274,,311.64,True
98,113.37985101665092,-3.066999847857193,317.77481510584056,10.0,0.00612238600556986,0.004486894666975759,0.0054933508753413594,0.07824567723248269,0.06698428671692906,0.07411714292484134,,312.96,True
99,75.30896279865053,-3.220769931385086,286.11253851451085,10.0,0.007920552269901526,0.00503860225911219,0.006812109958059472,0.08899748462682261,0.07098311249242449,0.0825355072563286,,306.36,True
100,1136.634087135825,-3.0040991738947014,-1999.9999999999986,10.0,0.005703838710494004,0.004649388437773112,0.005298280913293661,0.0755237625551985,0.06818642414566929,0.07278929119928056,,311.28,True
101,116.59586356968816,-3.0875817602659126,299.36587601682976,10.0,0.006612175169131816,0.004668657044355056,0.005864668198063832,0.08131528250662243,0.0683275716263578,0.07658112168193824,,315.0,True
102,801.721740111216,-3.225294184909408,-1387.8058216849702,10.0,0.006724158020271473,0.004095535843962555,0.005713149490921889,0.08200096353257974,0.06399637367822145,0.07558537881708266,,308.88,True
103,393.01995217663625,-3.027373208482574,-302.4686533981772,10.0,0.005815339041198918,0.004560097302430166,0.005332553757057089,0.0762583703025374,0.06752849252300962,0.073024336745068,,310.68,True
104,378.7578633330673,-3.05229207119302,-282.64591690574247,10.0,0.005904601774968179,0.004443550086830251,0.005342658817992053,0.07684140664360706,0.06665995864707877,0.07309349367756375,,313.2,True
105,1089.7215326525477,-3.1538654809632316,-2000.0,10.0,0.005946140846473923,0.003937077668742976,0.005173424239654328,0.07711122386834438,0.06274613668380688,0.07192651972432927,,310.2,True
106,162.302554796344,-2.95793407724947,279.94747099011784,10.0,0.0061359129439619384,0.005162274944626818,0.005761436790371508,0.07833206842642379,0.07184897316334325,0.07590412894152404,,311.52,True
107,1144.2292591693692,-3.0014015030262917,-2000.0,10.0,0.008472071576360695,0.006400085408364689,0.007675153819439155,0.09204385680946173,0.08000053380049842,0.08760795522918655,,319.08,True
108,1166.121422353987,-2.9049513051697198,-2000.0,10.0,0.006209802073281196,0.005571218355412976,0.005964192951024188,0.0788022973858072,0.07464059455425698,0.07722818754201206,,310.08,True
109,355.51628390755536,-2.9922313831525265,-188.4127781065831,10.0,0.005865667936838749,0.004791522323570733,0.005452535008658743,0.07658764872248494,0.06922082290446085,0.07384128255020184,,312.0,True
110,108.92083088203913,-3.0861162674309117,309.9537726759856,10.0,0.00612323811720661,0.004416901711149617,0.005466954884107766,0.07825112214662874,0.06645977513616501,0.07393885909390113,,310.56,True
111,812.7085126084563,-3.1940324902620594,-1393.4566797220446,10.0,0.00672708840148372,0.004313490212067386,0.005798781405554361,0.08201882955446096,0.06567716659591358,0.07614973017387758,,307.44,True
112,364.78685330788056,-2.973390026351249,-199.09775123038912,10.0,0.00596257972081812,0.00497391128020345,0.005582322628274017,0.07721774226703419,0.07052596174603683,0.07471494246985684,,310.68,True
113,1999.9999961084554,-0.47510367107207635,-1999.9999999999866,10.0,0.04678594946776124,0.03948288809932743,0.043977079710671316,0.2163005997859489,0.1987030148219383,0.20970712842121347,,334.32,True
114,365.84355428027044,-3.11119748209793,-298.88335953524006,10.0,0.00587777292799595,0.004106300109023311,0.005196437228391088,0.07666663503764821,0.06408041907652688,0.07208631790007787,,310.92,True
115,367.1165191375615,-3.123835326213045,-313.03623095707775,10.0,0.006039831394436391,0.004169516228098177,0.005320479407383232,0.07771635216887364,0.06457179127218152,0.07294161642973943,,309.6,True
116,148.31533840274716,-3.0003968449015335,281.85952725918855,10.0,0.0060358290878910065,0.004843637157103111,0.0055772937298956635,0.07769059845239323,0.06959624384335056,0.0746812809872438,,311.52,True
117,134.91439704805003,-3.0374734356264566,286.79769463235056,10.0,0.005999724275380246,0.004597909309159596,0.005460564672987688,0.07745788710893324,0.06780788530222423,0.07389563365306294,,311.64,True
118,366.4132641884409,-3.148967752020307,-313.071501619464,10.0,0.008902241853710677,0.005897756123670229,0.007746670419079734,0.09435169237332565,0.07679684969886609,0.08801517152786634,,319.2,True
119,852.5560179708513,-3.0560635444740964,-1381.2434245521943,10.0,0.005656929467159362,0.004295791402402603,0.0051334148268683,0.07521256189732778,0.06554228713130633,0.07164785291178166,,311.4,True
120,90.05187364513453,-3.1573236651932524,302.15265665537123,10.0,0.0064811560535119085,0.004270856167614056,0.005631040712781966,0.08050562746486675,0.06535178779202644,0.07504026061243368,,309.96,True
121,837.3322761001195,-3.203490514277619,-1454.901241957927,9.999986222182494,0.006510832051401822,0.004073138740699598,0.005573257701131735,0.0806897270499896,0.06382114650098036,0.07465425440744643,,308.76,True
122,1037.741694556919,-3.155996517226971,-1877.5410199537291,9.999999992945787,0.006065870090847943,0.003965504943628474,0.0052580373419173765,0.07788369592442274,0.06297225534811719,0.07251232544828069,,312.6,True
123,-252.30061914758963,-3.161176343435643,1087.899537694486,10.0,0.007890249175565526,0.005306426868838703,0.00689647136528598,0.08882707456381486,0.07284522543611698,0.08304499602797256,,311.64,True
124,1999.9999995295022,0.09543796075896765,-1459.995638042855,10.0,0.07200986751472507,0.06745792479282867,0.07025912031399567,0.26834654369811634,0.2597266347389668,0.26506437013298423,,345.24,True
125,811.2293011821799,-3.191318382296721,-1387.2568299752456,10.0,0.0065563805100503445,0.004192992890115281,0.005647385271613781,0.08097147960887428,0.06475332339050469,0.07514908696460511,,308.03999999999996,True
126,145.20509582032778,-3.01620935368679,286.2271441591038,10.0,0.006772883085134741,0.005182126997249639,0.006161053820563547,0.08229752781909515,0.07198699186137478,0.07849238065292419,,315.72,True
127,99.80002906259818,-3.1478501709538307,288.35352432937697,10.0,0.0063263828084476345,0.004190717409335253,0.005504973039558256,0.07953856177004733,0.06473575062772698,0.07419550552127976,,311.15999999999997,True
128,443.7233697216064,-2.8419590154500307,-280.6306484565648,10.0,0.0066193977284389645,0.006226809361593958,0.006468402202729346,0.08135968122134553,0.07891013472041444,0.08042637753081601,,313.68,True
129,1051.1991321476173,-1.0352501570959145,-1910.3723443589308,5.0703361431597544,0.008745073466133867,0.005664366800142328,0.007560186286906353,0.09351509753047295,0.07526198775040643,0.08694933172202275,,318.72,True
130,1135.6783284488936,-2.988137899264029,-1998.328883854591,9.962603678128968,0.0057092495290792,0.004652072120593541,0.005302642833507793,0.07555957602500957,0.0682061003180327,0.07281924768567576,,311.15999999999997,True
131,671.0398723438635,-3.105067950650474,-992.5323387255647,10.0,0.006152446944204868,0.004297588803079484,0.00543903996684895,0.07843753530169639,0.0655559974607929,0.07374984723271602,,314.15999999999997,True
132,189.5154379456454,-2.8679522319531743,280.6150223415696,10.0,0.006538743875583706,0.005965989103841586,0.006318453578759814,0.08086249981038,0.07723981553474597,0.07948870095025969,,311.15999999999997,True
133,442.39304504596527,-2.842794146889433,-280.6887746813696,10.0,0.006484558421903061,0.006138357770403853,0.006351404325172597,0.08052675593803006,0.07834767239940095,0.07969569828524371,,312.6,True
134,440.5821068768083,-2.842715732290064,-280.73369105832853,10.0,0.006553518261505981,0.0061500808593956836,0.006398350029925098,0.0809538032553504,0.07842245124577325,0.07998968702229743,,310.8,True
135,152.92189837893844,-2.9737606312319276,287.71146053258377,10.0,0.00622511009535287,0.005130668396576215,0.005804170980438773,0.07889936688816249,0.07162868417454152,0.07618510996539135,,310.32,True
136,818.2107139877844,-3.174964001157536,-1388.3656287249748,10.0,0.006105722176880264,0.003919502217767683,0.005264868346452348,0.07813912065591898,0.06260592797625224,0.07255941252830227,,310.32,True
137,822.9613886897399,-2.4553701116032856,-1380.1297881555386,8.410993785419265,0.0061536868948494725,0.004156562690318962,0.005385562200799276,0.07844543896779131,0.06447140986762243,0.07338638975177397,,308.76,True
138,441.92059353076047,-2.8426863045786934,-280.6554877745704,10.0,0.0064677276351145785,0.006124128753842406,0.006335574219240666,0.08042218372510522,0.07825681282701466,0.07959632038756984,,312.12,True
139,441.56234381162625,-2.850511712953448,-280.7131370417087,10.0,0.006668621466768922,0.0061959461587343225,0.006486823271370998,0.08166162787239134,0.07871433261315453,0.08054081742427871,,314.03999999999996,True
140,748.0416803081492,-3.1749193583302335,-1222.2106914302979,10.0,0.006280240900453095,0.0039951343556050255,0.0054013537678192225,0.07924797095480171,0.0632070752021087,0.07349390292955751,,312.84000000000003,True
141,792.9684817331387,-2.9516761661741344,-1172.7261300032708,10.0,0.00604381445771622,0.005174929378181451,0.005709627888664386,0.07774197359030847,0.07193698199244566,0.07556207970049783,,309.84000000000003,True
142,103.96330041168252,-3.1210325096124065,295.3881810787493,10.0,0.006310539877010626,0.004362106771785447,0.005561142528847095,0.07943890656983281,0.06604624721954645,0.07457306838830688,,309.72,True
143,418.53438063757807,-2.915636525676936,-281.14420997577,10.0,0.006135082288213403,0.005438542161560358,0.005867182239500692,0.07832676610337876,0.07374647219738961,0.07659753416070711,,311.03999999999996,True
