rg_weight,temp_index,temperature,in_validation,contact_loss,rg_loss,b_T,pred_mean_contacts,pred_mean_rg
0.25,49,340.446,0,0.06396633626,0.0161790787,-0.3210344114,14.67944239,1.48670587
0.25,50,341.807,0,0.06751658375,0.01792357554,-0.3249944922,14.81429245,1.481438911
0.25,51,343.173,1,0.06398614245,0.01678995818,-0.3289375373,14.95004651,1.476151576
0.25,52,344.545,0,0.06600915842,0.01741924676,-0.33286643,15.08677886,1.470841074
0.25,53,345.922,0,0.06330815809,0.01734214138,-0.3367783045,15.22436322,1.465512398
0.25,54,347.305,1,0.06576291834,0.01828447414,-0.3406760015,15.36287137,1.460162849
0.25,55,348.693,0,0.066886964,0.01867671349,-0.3445567037,15.50217349,1.454797504
0.25,56,350.086,0,0.06950879885,0.01863689369,-0.3484204469,15.64223811,1.449417612
0.25,57,351.486,1,0.0675684922,0.01893262691,-0.3522727494,15.78323393,1.444016747
0.25,58,352.891,0,0.06715939799,0.01926685317,-0.3561080801,15.92492557,1.438603966
0.25,59,354.301,0,0.06778037448,0.02073539991,-0.3599264788,16.06727725,1.433180632
0.25,60,355.717,1,0.06773064913,0.02043019946,-0.3637306615,16.2103529,1.427744308
0.25,61,357.139,0,0.06712188346,0.02145588383,-0.3675206056,16.35411418,1.422296447
0.25,62,358.567,0,0.06442918684,0.02247410154,-0.3712962904,16.49852138,1.416838542
0.25,63,360,1,0.06612225962,0.02383132376,-0.3750550841,16.64343225,1.411375925
0.5,0,280,1,0.04355511166,0.01134031191,-0.1088309091,9.425096265,1.705852838
0.5,1,281.119,0,0.04086317316,0.01126686652,-0.1135297528,9.507550781,1.702166118
0.5,2,282.243,0,0.04352905387,0.01197625163,-0.1182120834,9.590865806,1.698450189
0.5,3,283.371,1,0.04482231232,0.0111920124,-0.1228737334,9.674976821,1.694708143
0.5,4,284.504,0,0.04467496185,0.0109194081,-0.1275188355,9.75996796,1.690936454
0.5,5,285.641,0,0.04326616053,0.01026760681,-0.1321432919,9.845773716,1.687138249
0.5,6,286.783,1,0.04551023764,0.01042916369,-0.1367511734,9.932478992,1.683309991
0.5,7,287.929,0,0.04656821848,0.01043082552,-0.1413384502,10.02001721,1.679454841
0.5,8,289.08,0,0.04974772365,0.01030483381,-0.1459091322,10.10847398,1.675569254
0.5,9,290.235,1,0.04911441024,0.01014954332,-0.1504592569,10.19778157,1.671656431
0.5,10,291.395,0,0.04758328938,0.01060840248,-0.1549927739,10.28802626,1.66771282
0.5,11,292.56,0,0.04842869849,0.01060171056,-0.1595096485,10.37921754,1.663738248
0.5,12,293.729,1,0.04793685223,0.01053944643,-0.1640060168,10.47128575,1.659735981
0.5,13,294.903,0,0.04729589035,0.0110638244,-0.1684857404,10.56431802,1.655702462
0.5,14,296.082,0,0.04997629461,0.0125445912,-0.1729487904,10.65832324,1.651637553
